マップチップID,名前,画像パス,左上座標X,左上座標Y,サイズW,サイズH,簡略化色,移動コスト,防御補正値,回避補正値,回復
0,草原,mapchip0.png,0,0,32,32,0,1,0,0,0
1,草原,mapchip0.png,0,0,32,32,0,1,0,0,0
2,森,mapchip0.png,32,32,32,32,65280,2,0,30,0
3,川,mapchip1.png,0,0,32,32,6724095,-1,0,0,0
4,川,mapchip1.png,0,32,32,32,6724095,-1,0,0,0
5,川,mapchip1.png,0,64,32,32,6724095,-1,0,0,0
6,川,mapchip1.png,0,96,32,32,6724095,-1,0,0,0
7,川,mapchip1.png,0,128,32,32,6724095,-1,0,0,0
8,川,mapchip1.png,0,160,32,32,6724095,-1,0,0,0
9,川,mapchip1.png,0,192,32,32,6724095,-1,0,0,0
10,川,mapchip1.png,0,224,32,32,6724095,-1,0,0,0
11,川,mapchip1.png,0,256,32,32,6724095,-1,0,0,0
12,岩,mapchip2.png,0,0,32,32,6697728,-1,0,0,0
13,砦,mapchip3.png,0,0,64,64,8947848,1,2,30,30
14,溶岩,mapchip4.png,0,0,32,32,16711680,1,-1,-20,-20
